Round:0, degree:1.0
Round:1, degree:2.0
Round:2, degree:3.0
Round:3, degree:5.0
Round:4, degree:7.0
Round:5, degree:9.0
Round:6, degree:12.0
Round:7, degree:14.0
Round:8, degree:17.0
Round:9, degree:19.0
Round:10, degree:22.0
Round:11, degree:24.0
Round:12, degree:27.0
Round:13, degree:30.0
Round:14, degree:32.0
Round:15, degree:35.0
Round:16, degree:37.0
Round:17, degree:40.0
Round:18, degree:42.0
Round:19, degree:45.0
Round:20, degree:47.0
Round:21, degree:50.0
Round:22, degree:52.0
Round:23, degree:55.0
Round:24, degree:58.0
Round:25, degree:60.0
Round:26, degree:63.0
